name,RESISTANT
G18250057,True
G18250058,True
G18250059,True
G18250060,True
G18250065,True
G18250068,True
G18250069,True
G18250070,True
G18250072,True
G18250076,True
G18250077,True
G18250078,True
G18250079,True
G18250080,True
G18250081,True
G18250082,True
G18250083,True
G18250085,True
G18250086,True
G18250087,True
G18250089,True
G18250094,True
G18250095,True
G18250097,True
G18250098,True
G18250099,True
G18250100,True
G18250105,True
G18250106,True
G18250109,True
G18250110,True
G18250124,True
G18250127,True
G18250128,True
G18250138,True
G18250140,True
G18250141,True
G18250145,True
G18250150,True
G18250153,True
G18250157,True
G18250160,True
G18250164,True
G18250165,True
G18250172,True
G18250176,True
G18250179,True
G18250182,True
G18250183,True
G18252044,True
G18252045,True
G18252046,True
G18252047,True
G18252048,True
G18252049,True
G18252050,True
G18252051,True
G18253167,True
G18253188,True
G18253192,True
G18253196,True
G18253203,True
G18253216,True
G18253241,True
G18253247,True
G18253248,True
G18253256,True
G18253261,True
G18253279,True
G18253283,True
G18253286,True
G18253302,True
G18253305,True
G18253307,True
G18253313,True
G18253321,True
G18253323,True
G18253332,True
G18253335,True
